Title,Description_URL,Exercise_Image,Exercise_Image1,muscle_gp_details,equipment_details,equipment,muscle_group
Cable Crossover,https://www.bodybuilding.com/exercises/cable-crossover,,,https://www.bodybuilding.com/exercises/muscle/chest,https://www.bodybuilding.com/exercises/equipment/cable,Cable,Chest
Cable Deadlifts,,,,,,,Quadriceps
Cable External Rotation,,,,,,,Null
Cable Hip Adduction,,,,,,,Quadriceps
Cable Incline Pushdown,,,,,,,Lats
Cable Internal Rotation,https://www.bodybuilding.com/exercises/cable-internal-rotation,https://www.bodybuilding.com/exercises/exerciseImages/sequences/315/Male/m/315_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/315/Male/m/315_2.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,https://www.bodybuilding.com/exercises/equipment/cable,Cable,Shoulders
Cable Judo Flip,,,,,,,Abdominals
Cable Russian Twists,,,,,,,Abdominals
Cable Seated Crunch,,,,,,,Abdominals
Cable Seated Lateral Raise,,,,,,,Shoulders
Cable Shoulder Press,,,,,,,Shoulders
Cable V-bar push-down,https://www.bodybuilding.com/exercises/triceps-pushdown-v-bar-attachment,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-17c-cable-v-bar-push-down-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-17c-cable-v-bar-push-down-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/triceps,https://www.bodybuilding.com/exercises/equipment/cable,Cable,Triceps
Cable Woodchoppers,,,,,,,Null
Cable Wrist Curl,,,,,,,Forearms
Cable cross-over,https://www.bodybuilding.com/exercises/cable-iron-cross,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1c-cable-cross-over-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1c-cable-cross-over-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/chest,https://www.bodybuilding.com/exercises/equipment/cable,Cable,Chest
Cable overhead triceps extension,,,,,,,Triceps
Cable reverse crunch,,,,,,,Abdominals
Cable rope hammer curl,,,,,,,Biceps
Cable rope preacher hammer curl,,,,,,,Biceps
Cable shrug,,,,,,,Traps
Cable straight-bar upright row,,,,,,,Traps
Calf Press,https://www.bodybuilding.com/exercises/calf-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-117s-standing-calf-raise-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-117s-standing-calf-raise-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/calves,https://www.bodybuilding.com/exercises/equipment/machine,Machine,Calves
Calf Press On The Leg Press Machine,https://www.bodybuilding.com/exercises/calf-press-on-the-leg-press-machine,,,https://www.bodybuilding.com/exercises/muscle/calves,https://www.bodybuilding.com/exercises/equipment/machine,Machine,Calves
Calf Press Using Leg Press Machine,,,,,,,Null
Calf Raise On A Dumbbell,,,,,,,Calves
Calf Raises,,,,,,,Null
Calf Raises - With Bands,,,,,,,Calves
Calf Raises on Hackenschmitt Machine,,,,,,,Null
Calf SMR,,,,,,,Calves
Calf Stretch Elbows Against Wall,,,,,,,Calves
Calf-Machine Shoulder Shrug,https://www.bodybuilding.com/exercises/calf-machine-shoulder-shrug,https://www.bodybuilding.com/exercises/exerciseImages/sequences/184/Male/m/184_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/184/Male/m/184_2.jpg,https://www.bodybuilding.com/exercises/muscle/traps,https://www.bodybuilding.com/exercises/equipment/machine,Machine,Traps
Captain's chair knee raise,https://www.bodybuilding.com/exercises/kneehip-raise-on-parallel-bars,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-5m-captains-chair-knee-raise-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-5m-captains-chair-knee-raise-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,https://www.bodybuilding.com/exercises/equipment/other,Other,Abdominals
Car driver,https://www.bodybuilding.com/exercises/car-drivers,,,https://www.bodybuilding.com/exercises/muscle/shoulders,https://www.bodybuilding.com/exercises/equipment/other,Other,Shoulders
Carioca quick step,,,,,,,Adductors
Cat Stretch,,,,,,,Lower Back
Catch and Overhead Throw,,,,,,,Lats
Chain Handle Extension,https://www.bodybuilding.com/exercises/chain-handle-extension,,,https://www.bodybuilding.com/exercises/muscle/triceps,https://www.bodybuilding.com/exercises/equipment/other,Other,Triceps
Chain Press,,,,,,,Chest
Chair Leg Extended Stretch,,,,,,,Hamstrings
Chair Lower Back Stretch,,,,,,,Lats
Chair Upper Body Stretch,,,,,,,Shoulders
Chest Push (multiple response),,,,,,,Chest
Chest dip,https://www.bodybuilding.com/exercises/dips-chest-version,,,https://www.bodybuilding.com/exercises/muscle/chest,https://www.bodybuilding.com/exercises/equipment/other,Other,Chest
Child's pose-,,,,,,,Lower Back
Chin To Chest Stretch,,,,,,,Neck
Chin Up,,,,,,,Null
Chin-ups,,,,,,,Null
Circus Bell,,,,,,,Shoulders
Clam,https://www.bodybuilding.com/exercises/clam,https://www.bodybuilding.com/images/2020/april/2843_1.jpg,https://www.bodybuilding.com/images/2020/april/2843_2.jpg,https://www.bodybuilding.com/exercises/muscle/abductors,https://www.bodybuilding.com/exercises/finder,,Abductors
Clean,https://www.bodybuilding.com/exercises/clean,https://www.bodybuilding.com/exercises/exerciseImages/sequences/669/Male/m/669_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/669/Male/m/669_2.jpg,https://www.bodybuilding.com/exercises/muscle/hamstrings,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Hamstrings
Clean Deadlift,https://www.bodybuilding.com/exercises/clean-deadlift,,,https://www.bodybuilding.com/exercises/muscle/hamstrings,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Hamstrings
Clean Pull,,,,,,,Quadriceps
Clean Shrug,,,,,,,Traps
Clean and jerk,https://www.bodybuilding.com/exercises/clean-and-jerk,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26b-clean-and-jerk-m1-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/shoulders,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Shoulders
Clean and press,https://www.bodybuilding.com/exercises/clean-and-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-27b-clean-and-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-27b-clean-and-press-m5-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Shoulders
Clean from Blocks,https://www.bodybuilding.com/exercises/clean-from-blocks,https://www.bodybuilding.com/exercises/exerciseImages/sequences/746/Male/m/746_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/746/Male/m/746_2.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Quadriceps
Clock push-up,https://www.bodybuilding.com/exercises/clock-push-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-103a-clock-push-up-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-103a-clock-push-up-m6-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/chest,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,Chest
Close push-up to wide push-up,https://www.bodybuilding.com/exercises/pushups-close-and-wide-hand-positions,,,https://www.bodybuilding.com/exercises/muscle/chest,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,Chest
Close push-up to wide push-up,https://www.bodybuilding.com/exercises/pushups-close-and-wide-hand-positions,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-105a-close-push-up-to-wide-push-up-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-105a-close-push-up-to-wide-push-up-m4-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/chest,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,Chest
Close-Grip EZ-Bar Curl with Band,,,,,,,Biceps
Close-Grip Front Lat Pulldown,https://www.bodybuilding.com/exercises/close-grip-front-lat-pulldown,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-73c-close-grip-pull-down-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-73c-close-grip-pull-down-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/lats,https://www.bodybuilding.com/exercises/equipment/cable,Cable,Lats
Close-Hands Push-Up,,,,,,,Chest
Close-grip Bench Press,,,,,,,Null
Close-grip EZ-bar bench press,https://www.bodybuilding.com/exercises/close-grip-ez-bar-press,,,https://www.bodybuilding.com/exercises/muscle/chest,https://www.bodybuilding.com/exercises/equipment/ez-curl-bar,E-Z Curl Bar,Chest
Close-grip EZ-bar curl,https://www.bodybuilding.com/exercises/close-grip-ez-bar-curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47s-close-grip-ez-bar-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47s-close-grip-ez-bar-curl-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/biceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Biceps
Close-grip Lat Pull Down,,,,,,,Null
Close-grip barbell curl,https://www.bodybuilding.com/exercises/close-grip-standing-barbell-curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20b-close-grip-barbell-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20b-close-grip-barbell-curl-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/biceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Biceps
Close-grip bench press,https://www.bodybuilding.com/exercises/close-grip-barbell-bench-press,,,https://www.bodybuilding.com/exercises/muscle/chest,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Chest
Close-grip bench press,https://www.bodybuilding.com/exercises/close-grip-barbell-bench-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-82e-close-grip-bench-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-82e-close-grip-bench-press-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/chest,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Chest
Close-grip dumbbell bench press,,,,,,,Chest
Close-grip hands-elevated push-up,,,,,,,Chest
Close-grip pull-down,https://www.bodybuilding.com/exercises/v-bar-pulldown,,,https://www.bodybuilding.com/exercises/muscle/lats,https://www.bodybuilding.com/exercises/equipment/cable,Cable,Lats
Close-stance dumbbell front squat,,,,,,,Quadriceps
Cobra Triceps Extension,,,,,,,Triceps
Cocoons,https://www.bodybuilding.com/exercises/cocoons,,,https://www.bodybuilding.com/exercises/muscle/abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,Abdominals
Cocoons,https://www.bodybuilding.com/exercises/cocoons,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-170a-cocoon-crunch-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-170a-cocoon-crunch-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,Abdominals
Conan's Wheel,,,,,,,Quadriceps
Concentration curl,https://www.bodybuilding.com/exercises/concentration-curls,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-8e-concentration-curl-m1-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/biceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Biceps
Cross Crunch,,,,,,,Abdominals
Cross Over - With Bands,,,,,,,Chest
Cross-Bench Dumbbell Pullovers,,,,,,,Null
Cross-Body Crunch,https://www.bodybuilding.com/exercises/cross-body-crunch,,,https://www.bodybuilding.com/exercises/muscle/abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,Abdominals
Cross-Body Crunch,https://www.bodybuilding.com/exercises/cross-body-crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-176a-elbow-to-knee-crunch-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-176a-elbow-to-knee-crunch-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,Abdominals
Cross-body hammer curl,https://www.bodybuilding.com/exercises/cross-body-hammer-curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-4d-cross-body-hammer-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-4d-cross-body-hammer-curl-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/biceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Biceps
Cross-body shoulder stretch,,,,,,,Shoulders
Crossover Reverse Lunge,,,,,,,Lower Back
Crucifix,,,,,,,Shoulders
Crunch - Hands Overhead,https://www.bodybuilding.com/exercises/crunch-hands-overhead,https://www.bodybuilding.com/exercises/exerciseImages/sequences/113/Male/m/113_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/113/Male/m/113_2.jpg,https://www.bodybuilding.com/exercises/muscle/abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,Abdominals
Crunches,https://www.bodybuilding.com/exercises/crunches,,,https://www.bodybuilding.com/exercises/muscle/abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,Abdominals
Crunches With Cable,,,,,,,Null
Crunches With Legs Up,,,,,,,Null
Crunches on Machine,,,,,,,Null
Cuban press,,,,,,,Shoulders
Curl su Panca a 45°,,,,,,,Null
Cycling,,,,,,,Null
Dancer's Stretch,,,,,,,Lower Back
Dead bug reach,https://www.bodybuilding.com/exercises/dead-bug,,,https://www.bodybuilding.com/exercises/muscle/abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,Abdominals
Deadbug,,,,,,,Null
Deadhang,,,,,,,Null
Deadlift with Bands,https://www.bodybuilding.com/exercises/deadlift-with-bands,https://www.bodybuilding.com/exercises/exerciseImages/sequences/677/Male/m/677_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/677/Male/m/677_2.jpg,https://www.bodybuilding.com/exercises/muscle/lower-back,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Lower Back
Deadlift with Chains,https://www.bodybuilding.com/exercises/deadlift-with-chains,,,https://www.bodybuilding.com/exercises/muscle/lower-back,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Lower Back
Deadlifts,,,,,,,Null
Decline Bench Press Barbell,,,,,,,Null
Decline Bench Press Dumbbell,,,,,,,Null
Decline Close-Grip Bench To Skull Crusher,https://www.bodybuilding.com/exercises/decline-close-grip-bench-to-skull-crusher,https://www.bodybuilding.com/exercises/exerciseImages/sequences/288/Male/m/288_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/288/Male/m/288_2.jpg,https://www.bodybuilding.com/exercises/muscle/triceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Triceps
Decline Crunch,https://www.bodybuilding.com/exercises/decline-crunch,,,https://www.bodybuilding.com/exercises/muscle/abdominals,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,Abdominals
Decline Dumbbell Flyes,https://www.bodybuilding.com/exercises/decline-dumbbell-flyes,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31n-decline-dumbbell-chest-fly-m2-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/chest,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Chest
Decline Dumbbell Triceps Extension,https://www.bodybuilding.com/exercises/decline-dumbbell-triceps-extension,https://www.bodybuilding.com/exercises/exerciseImages/sequences/167/Male/m/167_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/167/Male/m/167_2.jpg,https://www.bodybuilding.com/exercises/muscle/triceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Triceps
Decline EZ-bar skullcrusher,https://www.bodybuilding.com/exercises/decline-ez-bar-triceps-extension,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47n-decline-ez-bar-skullcrusher-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47n-decline-ez-bar-skullcrusher-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/triceps,https://www.bodybuilding.com/exercises/equipment/ez-curl-bar,E-Z Curl Bar,Triceps
Decline Push-Up,https://www.bodybuilding.com/exercises/decline-push-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20e-feet-elevated-push-up-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20e-feet-elevated-push-up-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/chest,https://www.bodybuilding.com/exercises/equipment/body-only,Body Only,Chest
Decline Pushups,,,,,,,Null
Decline Smith Press,https://www.bodybuilding.com/exercises/decline-smith-press,,,https://www.bodybuilding.com/exercises/muscle/chest,https://www.bodybuilding.com/exercises/equipment/machine,Machine,Chest
Decline bar press sit-up,https://www.bodybuilding.com/exercises/press-sit-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-44n-decline-press-sit-up-m1-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/abdominals,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Abdominals
Decline barbell bench press,https://www.bodybuilding.com/exercises/decline-barbell-bench-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-34n-decline-barbell-bench-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-34n-decline-barbell-bench-press-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/chest,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Chest
Decline dumbbell bench press,https://www.bodybuilding.com/exercises/decline-dumbbell-bench-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-33n-decline-dumbbell-bench-press-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-33n-decline-dumbbell-bench-press-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/chest,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Chest
Decline oblique crunch,https://www.bodybuilding.com/exercises/decline-oblique-crunch,,,https://www.bodybuilding.com/exercises/muscle/abdominals,https://www.bodybuilding.com/exercises/equipment/none,,Abdominals
Decline reverse crunch,https://www.bodybuilding.com/exercises/decline-reverse-crunch,,,https://www.bodybuilding.com/exercises/muscle/abdominals,https://www.bodybuilding.com/exercises/equipment/other,Other,Abdominals
Deficit Deadlift,,,,,,,Null
Depth jump box jump,,,,,,,Quadriceps
Diagonal Shoulder Press,,,,,,,Null
Diamond push-up,,,,,,,Chest
Dip Machine,https://www.bodybuilding.com/exercises/dip-machine,https://www.bodybuilding.com/exercises/exerciseImages/sequences/146/Male/m/146_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/146/Male/m/146_2.jpg,https://www.bodybuilding.com/exercises/muscle/triceps,https://www.bodybuilding.com/exercises/equipment/cable,Cable,Triceps
Dips,,,,,,,Null
Dips,,,,,,,Null
Dips Between Two Benches,,,,,,,Null
Double Kettlebell Jerk,,,,,,,Shoulders
Double Kettlebell Push Press,,,,,,,Shoulders
Double Leg Butt Kick,https://www.bodybuilding.com/exercises/double-leg-butt-kick,https://www.bodybuilding.com/exercises/exerciseImages/sequences/778/Male/m/778_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/778/Male/m/778_2.jpg,https://www.bodybuilding.com/exercises/muscle/quadriceps,https://www.bodybuilding.com/exercises/finder,,Quadriceps
Double-arm triceps kick-back,https://www.bodybuilding.com/exercises/standing-bent-over-two-arm-dumbbell-triceps-extension,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-75d-double-arm-triceps-kick-back-m2-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-75d-double-arm-triceps-kick-back-m3-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/triceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Triceps
Double-kettlebell windmill,,,,,,,Shoulders
Downward Facing Balance,,,,,,,Glutes
Drag curl,https://www.bodybuilding.com/exercises/drag-curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-11b-drag-curl-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-11b-drag-curl-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/biceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Biceps
Drag curl,https://www.bodybuilding.com/exercises/drag-curl,,,https://www.bodybuilding.com/exercises/muscle/biceps,https://www.bodybuilding.com/exercises/equipment/barbell,Barbell,Biceps
Drop Push,https://www.bodybuilding.com/exercises/drop-push,,,https://www.bodybuilding.com/exercises/muscle/chest,https://www.bodybuilding.com/exercises/equipment/other,Other,Chest
Dumbbell Alternate Bicep Curl,https://www.bodybuilding.com/exercises/dumbbell-alternate-bicep-curl,,,https://www.bodybuilding.com/exercises/muscle/biceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Biceps
Dumbbell Bench Press,https://www.bodybuilding.com/exercises/dumbbell-bench-press,,,https://www.bodybuilding.com/exercises/muscle/chest,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Chest
Dumbbell Bicep Curl,https://www.bodybuilding.com/exercises/dumbbell-bicep-curl,,,https://www.bodybuilding.com/exercises/muscle/biceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Biceps
Dumbbell Clean,,,,,,,Hamstrings
Dumbbell Concentration Curl,,,,,,,Null
Dumbbell Flyes,https://www.bodybuilding.com/exercises/dumbbell-flyes,,,https://www.bodybuilding.com/exercises/muscle/chest,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Chest
Dumbbell Flyes,https://www.bodybuilding.com/exercises/dumbbell-flyes,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31e-dumbbell-chest-fly-m1-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/chest,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Chest
Dumbbell Goblet Squat,https://www.bodybuilding.com/exercises/dumbbell-goblet-squat,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Quadriceps
Dumbbell Incline Curl,,,,,,,Null
Dumbbell Incline Shoulder Raise,,,,,,,Shoulders
Dumbbell Lunges,https://www.bodybuilding.com/exercises/dumbbell-lunges,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Quadriceps
Dumbbell Lunges Standing,,,,,,,Null
Dumbbell Lunges Walking,,,,,,,Null
Dumbbell Lying Pronation,https://www.bodybuilding.com/exercises/dumbbell-lying-pronation,,,https://www.bodybuilding.com/exercises/muscle/forearms,https://www.bodybuilding.com/exercises/finder,,Forearms
Dumbbell Lying Rear Lateral Raise,https://www.bodybuilding.com/exercises/dumbbell-lying-rear-lateral-raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13n-incline-dumbbell-reverse-fly-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13n-incline-dumbbell-reverse-fly-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Shoulders
Dumbbell Lying Supination,https://www.bodybuilding.com/exercises/dumbbell-lying-supination,,,https://www.bodybuilding.com/exercises/muscle/forearms,https://www.bodybuilding.com/exercises/finder,,Forearms
Dumbbell Overhead Squat,,,,,,,Quadriceps
Dumbbell Raise,https://www.bodybuilding.com/exercises/dumbbell-raise,,,https://www.bodybuilding.com/exercises/muscle/shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Shoulders
Dumbbell Raise,https://www.bodybuilding.com/exercises/dumbbell-raise,https://www.bodybuilding.com/exercises/exerciseImages/sequences/327/Male/m/327_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/327/Male/m/327_2.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Shoulders
Dumbbell Scaption,,,,,,,Shoulders
Dumbbell Seated One-Leg Calf Raise,,,,,,,Calves
Dumbbell Squat To A Bench,,,,,,,Quadriceps
Dumbbell Tricep Extension -Pronated Grip,,,,,,,Triceps
Dumbbell Triceps Extension,,,,,,,Null
Dumbbell V-Sit Cross Jab,https://www.bodybuilding.com/exercises/dumbbell-v-sit-cross-jab,,,https://www.bodybuilding.com/exercises/muscle/abdominals,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Abdominals
Dumbbell Walking Lunge,,,,,,,Quadriceps
Dumbbell bent-over row,https://www.bodybuilding.com/exercises/bent-over-two-dumbbell-row,,,https://www.bodybuilding.com/exercises/muscle/middle-back,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Middle Back
Dumbbell external shoulder rotation,https://www.bodybuilding.com/exercises/external-rotation,,,https://www.bodybuilding.com/exercises/muscle/shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Shoulders
Dumbbell farmer's walk,https://www.bodybuilding.com/exercises/farmers-walk,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30d-dumbbell-farmers-walk-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30d-dumbbell-farmers-walk-m5-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/forearms,https://www.bodybuilding.com/exercises/equipment/other,Other,Forearms
Dumbbell floor press,https://www.bodybuilding.com/exercises/dumbbell-floor-press,,,https://www.bodybuilding.com/exercises/muscle/triceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Triceps
Dumbbell front raise,https://www.bodybuilding.com/exercises/front-two-dumbbell-raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13d-dumbbell-front-raise-m2-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Shoulders
Dumbbell front raise to lateral raise,https://www.bodybuilding.com/exercises/side-laterals-to-front-raise-,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61d-dumbbell-front-raise-to-lateral-raise-m2-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61d-dumbbell-front-raise-to-lateral-raise-m3-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Shoulders
Dumbbell front squat,,,,,,,Quadriceps
Dumbbell iron cross squat,,,,,,,Shoulders
Dumbbell lateral hop to sprint-,,,,,,,Quadriceps
Dumbbell preacher curl,https://www.bodybuilding.com/exercises/two-arm-dumbbell-preacher-curl,,,https://www.bodybuilding.com/exercises/muscle/biceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Biceps
Dumbbell reverse lunge,https://www.bodybuilding.com/exercises/dumbbell-rear-lunge,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-83d-dumbbell-reverse-lunge-m1-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/quadriceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,Dumbbell,Quadriceps
